;Hyponim;hyperonim;text ;source;;;
1;Капельмейстер;руководитель хоровой капеллы;Капельмейстер - это руководитель хоровой капеллы и/или оркестра. Военный капельмейстер — дирижёр полкового, эскадронного и тому подобного оркестра.;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BF%D0%B5%D0%BB%D1%8C%D0%BC%D0%B5%D0%B9%D1%81%D1%82%D0%B5%D1%80;;;
2;Капельмейстер;дирижер;Капельмейстер - это дирижер военного духового оркестра.;https://xn--b1algemdcsb.xn--p1ai/wd/%D0%BA%D0%B0%D0%BF%D0%B5%D0%BB%D1%8C%D0%BC%D0%B5%D0%B9%D1%81%D1%82%D0%B5%D1%80;;;
3;Капельмейстер;дирижер военной капеллы;Капельмейстер  — дирижер вокальной капеллы.;http://enc.biblioclub.ru/Termin/71557;;;
4;Капельмейстер;профессия;Одной из профессий Иоганна Себастьяна Баха была профессия капельмейстера. Йозеф Гайдн ; будучи капельмейстером у князя Эстерхази ;;;
5;Капельмейстер;;;;;;
6;Каперс;род растений;Ка?персы, или Ка?перцы, или Ка?порцы (лат. C?pparis) — род растений семейства Каперсовые (Capparidaceae), иногда род относят к семейству Капустные (Brassicaceae).;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BF%D0%B5%D1%80%D1%81%D1%8B;;;
7;Каперс;нераспустившиеся бутоны;Каперсы — нераспустившиеся бутоны колючего кустарника Capparis spinosa. В сыром виде они несъедобны, их маринуют в уксусе и соли. По размеру каперсы делятся на non-pareile, surfines, capucines, capotes и fines — чем крупнее бутоны, тем они дороже, вкуснее и удобнее в использовании. В маринованном виде они приобретают решительный пряно-горчичный вкус и аромат. Каперсы используют как приправу и как гарнир, но и в том и в другом качестве с ними не стоит перебарщивать. Это слишком сильнодействующее орудие, и оно тянет все одеяло вкуса на себя.;https://eda.ru/wiki/ingredienty/ovoschi-korneplody/kapersi-13534;;;
8;Каперс;овощ;Каперс - забытый овощ. Многие хозяйки, которым попадались книги кулинарных рецептов прошлых лет (особенно дореволюционные), обращали внимание на присутствие такой пряности, как каперсы. Сейчас же они почти забыты.;https://garden.cofe.ru/dachnye-ekzoty/kapers-zabyityiy-ovoshh;;;
9;Каперс;плод кустарника;каперс К’аперс (Екк.12:5) — ароматический и возбуждающий плод кустарника, распространенного на востоке. Применяется как приправа. В русском переводе Библии это слово употреблено фигурально, в оригинале сказано прямо: «и желание исчезнет».;https://gufo.me/dict/bible_vihlyancev/%D0%BA%D0%B0%D0%BF%D0%B5%D1%80%D1%81;;;
10;Каперс;;;;;;
11;КАПРИС;пьесса;Итальянское слово «capriccio» означает каприз, прихоть. В музыке оно или его производные встречаются довольно часто: так называют пьесы, свободные по построению, капризного, изменчивого характера. Таково, например, Итальянское каприччио Чайковского, написанное под впечатлением его поездки в Италию. В этом оркестровом каприччио использованы разнообразные народные напевы и ритмы, благодаря которым создается красочная картина веселого итальянского карнавала.;https://www.classic-music.ru/capriccio.html;;;
12;КАПРИС;;;;;;
13;КАПРИС;;;;;;
14;КАПРИС;;;;;;
15;КАПРИС;;;;;;
16;КАПРИЧЧИО;жанр пейзажной живописи;Каприччио (итал. capriccio, буквально «каприз») — жанр пейзажной живописи, популярный в XVII—XVIII веках. На картинах этого жанра изображались архитектурные фантазии, в основном руины вымышленных античных сооружений. Для оживления пейзажа нередко использовался стаффаж. Каприччио тесно связан с жанром ведуты. На некоторых картинах элементы каприччио могут сочетаться с другими жанрами.;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BF%D1%80%D0%B8%D1%87%D1%87%D0%B8%D0%BE_(%D0%B6%D0%B8%D0%B2%D0%BE%D0%BF%D0%B8%D1%81%D1%8C);;;
17;КАПРИЧЧИО;инструментальная пьесса;Капричччио - инструментальная пьеса свободной формы, в блестящем виртуозном стиле. Для множества каприччио типична причудливая смена эпизодов, настроений.;https://www.belcanto.ru/capriccio.html;;;
18;КАПРИЧЧИО;произведение;"Капри?ччио (итал. Capriccio, также каприс, фр. caprice; букв. каприз, прихоть; причудливый изыск) — произведение академической музыки, написанное в свободной форме.";https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BF%D1%80%D0%B8%D1%87%D1%87%D0%B8%D0%BE_(%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B0);;;
19;КАПРИЧЧИО;;;;;;
20;КАПРИЧЧИО;;;;;;
21;КАПУСТНИЦА;бабочка;Капустница или белянка капустная — дневная бабочка из семейства белянок (Pieridae). Видовой эпитет происходит от лат. Brassica — капуста, одно из кормовых растений гусениц.;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BF%D1%83%D1%81%D1%82%D0%BD%D0%B8%D1%86%D0%B0_(%D0%B1%D0%B0%D0%B1%D0%BE%D1%87%D0%BA%D0%B0);;;
22;КАПУСТНИЦА;вредитель;Капустница - вредитель относится к отряду Чешуекрылые, семейству Белянки.;https://www.avgust.com/atlas/v/detail.php?ID=6403;;;
23;КАПУСТНИЦА;вид супов;Капустница (капустняк, капусняк, капуста) — традиционный украинский, русский, белорусский, словацкий и польский вид супов из квашеной капусты[1]. Является аналогом русских щей, но не следует считать это одним и тем же блюдом, так как капустница готовится исключительно из квашеной капусты[2]. Традиционное блюдо на рождественском столе.[3];https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BF%D1%83%D1%81%D1%82%D0%BD%D0%B8%D1%86%D0%B0_(%D1%81%D1%83%D0%BF);;;
24;КАПУСТНИЦА;вредитель крестоцветных;Капустная белянка (капустница) – вредитель крестоцветных. Питаются гусеницы. Особенно сильно повреждает белокочанную и цветную капусту, а также брюкву, репу, редис, редьку, турнепс, хрен, рапс, горчицу, индау. Размножение двуполое. Развитие полное. Зимуют диапаузирующие куколки. В течение вегетационного периода развивается до пяти поколений.[5];http://www.pesticidy.ru/%D0%91%D0%B5%D0%BB%D1%8F%D0%BD%D0%BA%D0%B0_%D0%BA%D0%B0%D0%BF%D1%83%D1%81%D1%82%D0%BD%D0%B0%D1%8F;;;
25;КАПУСТНИЦА;насекомое;Капустница. Описание: это насекомое является представителем обширнейшего семейства белянок, гигантский вред оно причиняет преимущественно насаждениям капусты и крестоцветным овощам. Крылышки у нее белые с характерными черными пятнышками, в размахе достигают 6,3 см. Гусеницы у этой бабочки зеленовато-желтой окраски, покрытые коротенькими темными шерстинками, имеют на спинке желтые полоски. В стадии куколки насекомые прячутся на заборе, в коре растений, среди камней.;https://35media.ru/articles/2018/06/22/babochki-vrediteli-ne-lyubyat-valeryanku;;;
26;КАРАВЕЛЛА;парусное судно ;Караве?лла — тип парусного судна, распространённый в Европе, особенно в Португалии и Испании, во второй половине XV — начале XVII века. Один из первых и наиболее известный тип кораблей, с которых начиналась эпоха Великих географических открытий.;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B0%D0%B2%D0%B5%D0%BB%D0%BB%D0%B0;;;
27;КАРАВЕЛЛА;корабль;Определение каравеллы в словаре - это быстрый корабль, используемый в основном на xv. ;https://educalingo.com/ru/dic-fr/caravelle;;;
28;КАРАВЕЛЛА;самолет средней дальности ;Другим определением каравелла является самолет средней дальности.;https://educalingo.com/ru/dic-fr/caravelle;;;
29;КАРАВЕЛЛА;европейский автомобиль;Caravelle — стопроцентно европейский автомобиль. Лидер продаж в своём классе на рынке Германии и многих других стран EC. Естественно, что в отношении его безопасности у покупателей не должно быть никаких сомнений. И на российском рынке, и в Евросоюзе любая Caravelle, официально продаваемая через дилерскую сеть, будет оснащена электронной системой поддержания курсовой устойчивости и двумя фронтальными подушками. Остальное — по требованию. Вам стоит присмотреться к списку опций. Чего-чего, а безопасности в деле пассажирских перевозок много не бывает!;https://www.volkswagen-commercial.ru/ru/models/caravelle.html;;;
30;КАРАВЕЛЛА;судно ;;;;;
