|comment|thensor|grade
0|Хотелось долго плеваться после того как я с трудом осилил половину книги. На этом моё увлечения творчеством Никитина было закончено. Я даже не захотел читать уже купленную книгу ?Изгой? из любимого некогда цикла Трое из леса.|[ -9.054277  -9.319953  -9.63522  ... -10.543992 -10.548897 -10.546629]|1
1|ИМХО, в серии о Свароге Бушков исписался. Если первые две книги еще читать интересно, то остальное...... В общем, Сварога пора убивать.|[-8.216766 -9.431875 -8.735609 ... -9.522854 -9.530655 -9.526998]|1
2|"Много был наслышан об этом авторе и вот взялся прочесть. Сказать, что книга разочаровала - ничего не сказать. Смысловые ляпы на каждом шагу (например, команда ""огонь"" при стрельбе из луков в мире где нет индивидуального огнестрельного оружия и т.д.), громоздкий вычурный язык, отсутствие концовки, путешествие неизвестно куда и неизвестно зачем, слабая мотивация поступков героев. Книга гораздо ниже среднего. Теперь я начинаю понимать, почему многие не любят фэнтези."|"[-11.363263   -9.615986   -9.191571  ... -11.2129755 -11.23314
 -11.223666 ]"|1
3|Да, тяжело читать безграмотную фэнтези. Хотя, конечно, приступы гомерического смеха спасают ситуацию. Когда потомственный дворянин называет своего вассала сюзереном, а другой потомственый дворянин этого не замечает, начинаешь сомневаться в здравом смысле автора. Плохо, очень плохо.|"[-10.573881   -9.744137   -8.988745  ... -10.392491  -10.4017315
 -10.397382 ]"|1
4|Попытка свести сюжет предыдущих книг в единое целое. Где-то треть книги диалогов нет вообще, есть только описание странствия вора по подземельям. Мотивация у героев, как всегда отсутствует. Возможности магии приуменьшены. Если в первой книге ученица мага смогла залить овраг огнём, то в этой книге все вместе взятые архимаги не могут эффективно преломить ход битвы, размениваясь по мелочам. Олени, которые мчатся через лесную чащу быстрее, чем лошади по тракту меня умилили. Аффтор жжет.|[-8.89862  -8.333166 -7.28686  ... -9.272975 -9.280136 -9.276776]|1
5|"похоже, что писал человек, который обижен на весь мир и он ничего не хочет делать для того, чтобы что-то изменить, и все, на что хватает его ""сил"", это только ныть и жаловаться! вобщем ничего хуже и глупее, по-моему, не читала."|[-10.763802 -10.570548 -11.044533 ... -12.627405 -12.648949 -12.638823]|1
6|"Моя оценка - ниже плинтуса. Хотя многие хвалили. Но большинство хвалебных отзывов, которые мне встречались, выглядели примерно так: ""Вау! Какая достоверность! Ах, как это похоже на правду!"", а вот о том, что это худ. книга как то забывалось. Люди ей восхищались как энциклопедией, не обращая внимание ни на отсутствие смысловой начинки, ни на идейную пустоту... Ни на безверие автора, пишущего о вере."|[ -9.12453   -8.861124  -9.260071 ... -10.2134   -10.226829 -10.220544]|1
7|"Приобрел одну книгу ""Воители Руси"" хуже не бывает! Выкинул бы, да денег потраченных жалко. Таким бездарям только на ""Союз пЕсателей"" к Бачинскому и Стиллавину!"|[-6.437566  -6.3168964 -5.6825647 ... -7.362568  -7.363535  -7.363096 ]|1
8|как делец, зарабатывающий на своих книгах, Браун уважение вызывает. Но как Писатель - увольте. Это жвачка, сдобренная в качестве вкусовых добавок ароматами тайн и Таинственных Обществ... Да, у него есть интрига. но почему-то эта интрига у него - шаблонна во всех книгах. И, скажите честно - вы хотя бы одну книгу Бруна перечитали много раз с тем же удовольствием? Или, когда пружины интриги все известны, читать стало неинтересно?|"[ -8.811505   -8.902659   -8.447063  ... -10.0251665 -10.035587
 -10.030712 ]"|1
9|Второй раз читать не смог. ибо кроме интриги в книге нет НИЧЕГО: ни хорошего языка, ни каких-либо мыслей, вызывающих желание подумать. Жвачка. Один раз пожевал, а второй раз уже не вкусно.|[ -9.086026  -9.954723  -9.945814 ... -11.458797 -11.46725  -11.463293]|1
10|Жвачка на один раз. Хоть и весьма захватывающа. но после прочтения стойкое ощущение, что тебя заставили купить макулатуру за большие деньги.|"[ -9.412675  -10.125025   -8.692619  ... -10.311438  -10.32493
 -10.3185835]"|1
11|просто кошмарная книга|"[-13.161716  -12.5201645 -11.972019  ... -14.701909  -14.736994
 -14.720497 ]"|1
12|Просто еще один некачественный коммерческий проект на русском рынке. Читатель книг - это не быдло, и ему всякую дрянь (под видом агрессивного гламурчика) не подсунешь.|"[-10.096735   -9.2969     -7.8863463 ...  -9.991318  -10.001823
  -9.996901 ]"|1
13|На мой взгляд все произведения г.Климова просто отвратительны. Его антисемитизм имеет какие-то явно извращенческие формы, что наводит на мысль о возможных сексуальных проблемах автора, а также на крайне низкий культурный уровень, как самого г.Климова, так и его возможных поклонников.|"[ -8.154034   -8.251158   -9.2442465 ... -10.164162  -10.177583
 -10.1712885]"|1
14|Ненаучная фантастика|[-7.767297  -5.295357  -2.5037374 ... -6.3032765 -6.312207  -6.30799  ]|1
15|Бред... даже слов нет)|[-10.32741  -11.432526  -8.625572 ... -11.529347 -11.544177 -11.537174]|1
16|Самая скучная книга из всех, что Фредерик написал. Видимо, Бегбедер её в туалете писал.|[-8.036952 -8.701382 -7.797578 ... -9.131342 -9.134892 -9.133247]|1
17|"Внимание! Если книга перевернет всю вашу жизнь, не говорите, что вас не предупреждали!  Эта фраза привлекла меня, и я купила эту книгу, отправляясь в отпуск. Нельзя конечно утверждать, что отпуск был испорчен, но наверное что-то вроде этого. Непонятно ЧТО хотел сказать автор этой книгой. Наверное он является скрытым садо-мазохистом, который пытается оправдать свои комплексы, осуждая героев книги занимающихся этим...безобразием. ""Эротические"", если так можно сказать, сцены, это описания жестокости, насилия, морального и физического унижения. Ничего философского, способного ""перевернуть жизнь"" нет и впомине. Есть лишь мерзкое ощущение того, что эту гадость печатают и продают..."|[ -9.106062  -8.752694  -9.580708 ... -10.635637 -10.645556 -10.64092 ]|1
18|Крайне высокопарная и поверхностая имитация глубокой мудрости. Явно предполагается глубокая наивность читателя и его поверхностная культурность - все мудрое должно быть загадочным, возвышенным, символическим и т.д. На общем уровне литературы нашего времени - произведение совершенно детское. Но оно не детское - это хитрая конъюнктурщина для простаков.|[-10.069992  -6.893531  -8.538994 ...  -9.940459  -9.954498  -9.947888]|1
19|Необычайная пошлость. Мне стыдно, что Лукьяненко гражданин России|[-6.5336533 -6.046712  -6.403828  ... -7.5798945 -7.5854645 -7.5828757]|1
20|Просто мерзко, у автора явно не в порядке с головой.|"[ -8.342593  -10.167302   -8.442786  ... -11.4897995 -11.511058
 -11.501065 ]"|1
21|Не стоит тратить время. Тоже мне открыл Америку: телевизор нас зомбирует, а то мы этого не знаем. Притом настолько сыро, небрежно, без элементарного уважения к читателю. Да плюс еще и на двухтомнике в два раза больше бабла попытался срубить. Отстойный отстой! Продолжение то следует, только я его читать не буду.|"[ -9.3776     -8.738698   -8.5473795 ... -10.328781  -10.339377
 -10.334391 ]"|1
22|Сексо-нарко-гомо-грязноязыкая гыдота из жизни пАдонков. Читать пАдонкам|[-6.2646384 -5.863343  -6.2939796 ... -7.3523984 -7.3511224 -7.3517356]|1
23|как вариант действий.|[ -8.401193 -10.839609  -8.571993 ...  -9.847527  -9.858082  -9.853115]|1
